Date/Time,SHOEBOX:Zone Air Temperature [C](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PEOPLE_COMFORT:Zone Thermal Comfort Fanger Model PPD [%](Hourly) 
 01/01  01:00:00,20.0,4367504.325148698,0.0,31.874087714837079 
 01/01  02:00:00,20.0,4545666.598465288,0.0,33.09732354292626 
 01/01  03:00:00,20.0,4603497.605428961,0.0,33.49257452595845 
 01/01  04:00:00,20.0,4632938.76017034,0.0,33.71056335450504 
 01/01  05:00:00,20.0,4772444.830595933,0.0,34.74196137985066 
 01/01  06:00:00,20.0,4849995.166953156,0.0,35.303457058442429 
 01/01  07:00:00,20.0,5301149.6418239469,0.0,36.31651369985331 
 01/01  08:00:00,20.0,5585772.251243755,0.0,37.75972175866303 
 01/01  09:00:00,20.0,6072184.183608748,0.0,38.885649296639638 
 01/01  10:00:00,20.0,6024587.606781852,0.0,38.36134020198903 
 01/01  11:00:00,20.0,4782373.541036787,0.0,30.90946782582495 
 01/01  12:00:00,20.0,2451189.369945155,0.0,18.809930134182286 
 01/01  13:00:00,20.0,961065.2803373876,0.0,14.298228687124614 
 01/01  14:00:00,20.016881821235939,76220.63446447707,0.0,13.738288712041987 
 01/01  15:00:00,20.163942938957328,0.0,0.0,15.011712560877646 
 01/01  16:00:00,20.035875186704513,917278.1225440292,0.0,20.361639483940367 
 01/01  17:00:00,20.00000000000001,3574383.94485036,0.0,26.485808254199328 
 01/01  18:00:00,20.0,3993561.5920368295,0.0,26.67440854411522 
 01/01  19:00:00,20.0,4261266.9805657169,0.0,27.969082914602578 
 01/01  20:00:00,20.0,4222772.1296891369,0.0,28.82521803227387 
 01/01  21:00:00,20.0,4339333.016463065,0.0,29.585697820520097 
 01/01  22:00:00,20.0,4153896.813324894,0.0,29.910685190064269 
 01/01  23:00:00,20.0,4103062.1743311437,0.0,29.95914623532522 
 01/01  24:00:00,20.0,4231611.488098482,0.0,30.887391072146845 
 01/02  01:00:00,20.0,4319239.658685739,0.0,31.496571580577507 
 01/02  02:00:00,20.0,4416363.862599445,0.0,32.22040264050752 
 01/02  03:00:00,20.0,4543864.12409048,0.0,33.03731073219406 
 01/02  04:00:00,20.0,4622099.257869805,0.0,33.64759251984097 
